25-05-2020 14:24:18 | Domain.EntityManager | ERROR  | Username already exists
25-05-2020 14:24:18 | Domain.EntityManager | ERROR  | Password does not meet the requirements
25-05-2020 14:24:18 | Service.ARController | ERROR  | The team "Hapoel Beit Shan" already exists in the system
25-05-2020 14:24:18 | Service.ARController | ERROR  | Could not find a user by the given username
25-05-2020 14:24:18 | Domain.Controllers.TeamController | ERROR  | There is not assets to team
25-05-2020 14:24:18 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
25-05-2020 14:24:18 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
25-05-2020 14:24:18 | Service.ARController | ERROR  | There are no referees
25-05-2020 14:24:18 | Domain.Controllers.TeamController | ERROR  | Could not find a user by the given username
25-05-2020 15:21:19 | Domain.EntityManager | ERROR  | Username already exists
25-05-2020 15:21:19 | Domain.EntityManager | ERROR  | Password does not meet the requirements
25-05-2020 15:21:19 | Service.ARController | ERROR  | The team "Hapoel Beit Shan" already exists in the system
25-05-2020 15:21:19 | Service.ARController | ERROR  | Could not find a user by the given username
25-05-2020 15:21:19 | Domain.Controllers.TeamController | ERROR  | There is not assets to team
25-05-2020 15:21:19 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
25-05-2020 15:21:19 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
25-05-2020 15:21:19 | Service.ARController | ERROR  | There are no referees
25-05-2020 15:21:19 | Domain.Controllers.TeamController | ERROR  | Could not find a user by the given username
25-05-2020 17:08:14 | Service.ARController | ERROR  | There are no leagues that their latest season hasn't started
25-05-2020 17:13:53 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
25-05-2020 17:18:17 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
25-05-2020 17:21:53 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
26-05-2020 02:36:27 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
26-05-2020 02:36:48 | Service.RefereeController | ERROR  | There are no games for this referee
26-05-2020 02:38:49 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 02:38:52 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 02:38:56 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 02:49:33 | Service.RefereeController | ERROR  | There are no games for this referee
26-05-2020 02:49:54 | Service.RefereeController | ERROR  | There are no games for this referee
26-05-2020 11:34:53 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 11:35:08 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 11:35:22 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 11:37:34 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
26-05-2020 11:39:05 | Domain.EntityManager | ERROR  | Error: The user Administrator is already logged in
26-05-2020 14:39:00 | Domain.EntityManager | ERROR  | Username or Password was incorrect!
